"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Detroit-Warren-Livonia, MI Metro Area",4296250,6963,6691,6230,5902,7280,6347,6627,6583,6497,6228,5729,5268,5176,4328,4424,3953,4182,3536,3216,2837,3319,2973,2833,2554,2324,2471,2495,2460,2059,1689,1222,1349,1624,1636,503,828,753,610,764,1198,780,454,465,443,1169,503,391,887,264,1281,631,1133,1239,1668,1922,1190,2267,623,191,0,156,0,0,0,128,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside-San Bernardino-Ontario, CA Metro Area",4224851,4485,6302,5133,4453,3614,5312,4307,7119,6264,6551,5580,5382,4762,4419,5815,6418,6010,5589,4089,5109,3900,2420,2403,2359,2211,1323,2539,3523,3345,3079,3381,2003,3294,2043,2792,2936,2081,3108,2649,1439,183,639,0,10,0,0,72,114,2357,2405,2735,1288,2771,6822,3115,625,504,1023,79,3030,2269,927,954,1792,3268,2289,2950,4480,4084,5722,1278,6048,4654,167,753,0,485,9,0,0,0,2,136,0,0,0,1,0,0,0,0
"Phoenix-Mesa-Glendale, AZ Metro Area",4192887,4522,3934,5289,7401,7053,6274,6730,5211,6909,5804,5178,4533,5216,5698,4893,4546,4704,4300,3738,3541,2989,2594,2697,2733,3074,2348,2802,2505,2006,2232,1457,1052,757,4806,1379,264,1271,6,1380,41,483,1003,1575,2084,1200,384,238,27,0,1739,143,87,613,1061,413,0,1067,61,0,0,0,0,0,16,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seattle-Tacoma-Bellevue, WA Metro Area",3439809,22070,17819,10130,8377,9608,7928,6750,5246,4815,4920,4327,4221,3630,3450,3582,4216,3036,6133,3469,3549,4006,3610,3259,3609,3508,3393,3398,3191,3347,3145,3343,2814,2847,2105,3023,1770,2275,1276,676,1221,589,1382,85,169,348,162,0,83,0,0,0,29,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3279833,12877,12790,9448,5737,5809,5246,4827,4734,4437,3943,3301,3504,2788,2637,2449,2382,2171,2365,1612,1673,1469,979,721,1506,993,1144,519,314,388,247,50,56,1222,261,81,350,121,138,369,116,275,114,108,0,90,105,43,51,71,82,61,0,32,31,0,0,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Diego-Carlsbad-San Marcos, CA Metro Area",3095313,13170,12745,10845,12694,13047,9413,7767,8312,6525,6375,9251,8220,6875,7037,6092,4380,4792,3405,2933,3153,2365,1385,4194,4060,1790,3348,3982,3764,3436,10317,4731,2133,5218,5613,9056,5148,4750,4350,4048,631,53,0,209,228,0,4965,3538,71,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St. Louis, MO-IL Metro Area",2812896,5020,5068,6802,7981,5793,5373,5772,4168,3830,3063,2857,3364,2878,2031,2636,2386,1665,2310,2362,2480,1994,1460,2138,1897,2255,1018,785,2058,1461,1730,2425,1674,672,352,735,49,445,407,329,1163,236,132,16,603,125,311,523,131,541,37,46,72,264,48,83,33,154,55,287,129,0,63,0,0,713,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2783243,7869,5486,5010,4186,4760,4524,4515,3951,4329,4741,2674,3007,2084,3089,2405,3003,3389,3502,3538,3741,3516,3392,3274,2369,2807,2602,2359,3243,3155,1960,1690,1920,644,1433,1047,1754,2020,1770,1878,809,0,1023,442,98,0,0,160,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baltimore-Towson, MD Metro Area",2710489,24901,17349,14523,10078,8549,6891,6473,5091,5587,4249,3732,3438,3274,3526,2681,2742,2830,1587,2711,2217,2700,1681,2183,4337,1750,786,492,1107,538,1187,242,372,1680,143,453,156,0,125,513,150,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denver-Aurora-Broomfield, CO Metro Area",2543482,15483,9678,7181,6485,6305,5290,5904,5781,5459,5147,4354,4248,4480,4402,3551,2371,2632,1958,1782,1423,3378,1134,543,2182,481,513,604,971,160,163,82,29,19,45,0,46,9,0,0,11,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
