"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"Buffalo-Niagara Falls, NY Metro Area",1135509,8249,9762,9200,6756,8896,7401,4548,3729,2794,3195,2846,1769,1104,1989,1785,806,2708,3128,1481,912,592,1731,2051,0,76,105,400,660,723,1555,722,125,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Raleigh-Cary, NC Metro Area",1130490,4777,4768,3709,2866,2062,2944,2600,2446,2602,1817,1630,2127,1539,1484,743,778,626,156,420,239,270,160,0,126,231,564,313,149,122,164,128,0,0,114,51,54,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Birmingham-Hoover, AL Metro Area",1128047,3215,4456,3212,2815,2766,2538,1615,1918,1487,1952,2018,1461,1394,816,605,504,1052,681,783,452,497,105,336,611,114,117,133,104,296,152,271,0,229,111,21,234,162,76,42,38,55,106,0,0,0,55,253,65,57,242,67,25,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salt Lake City, UT Metro Area",1124197,8629,7046,6244,6181,5013,6493,4985,4920,5102,5450,5353,5039,2903,4403,3182,2650,2318,2669,2706,550,304,308,47,0,490,4050,2100,1915,0,0,0,16,530,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rochester, NY Metro Area",1054323,7567,9729,7867,3904,3343,2681,2761,1618,1769,1491,1082,744,552,262,371,463,827,432,1086,452,1643,130,192,204,993,1386,618,1539,92,1433,83,101,614,57,54,438,0,2291,61,449,0,1971,114,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tucson, AZ Metro Area",980263,4840,6086,4764,4487,5306,4555,3613,3181,2869,3641,2319,2307,1390,1827,1575,242,1243,476,0,673,97,134,0,990,411,1674,0,287,0,48,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Honolulu, HI Metro Area",953207,23277,24061,26980,23446,10982,5460,4524,7531,4891,6803,8457,8834,4555,4460,6122,3320,7100,2390,5048,276,45,3302,3224,720,2475,2711,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tulsa, OK Metro Area",937478,2865,3298,4134,3116,2891,4075,2093,4185,3489,2951,2153,1505,2412,1484,1125,625,383,331,510,268,144,81,914,881,997,38,144,19,79,101,35,82,0,52,23,81,603,488,14,39,428,0,42,0,0,7,100,0,79,159,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fresno, CA Metro Area",930450,8030,7352,6523,6700,5961,5202,4490,4089,3895,3568,2532,513,1552,1683,537,1657,1089,280,0,1335,722,3945,0,21,35,22,364,742,0,0,0,0,2,224,13,0,0,0,127,26,0,24,0,0,0,0,0,7,4,4636,0,0,1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,18365,12371,7089,4000,2125,924,1570,1080,1314,1215,2256,2323,3189,6630,1516,2160,775,2524,4902,7838,8602,4152,1655,1572,5137,898,4684,4333,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albuquerque, NM Metro Area",887077,4055,3834,4000,4685,4897,5303,4588,4213,4923,3432,1374,2520,869,158,1452,2831,543,1803,415,141,939,32,165,368,427,45,0,0,71,680,620,631,0,0,117,49,10,0,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albany-Schenectady-Troy, NY Metro Area",870716,11791,8224,3417,2466,2475,3172,3587,3860,2018,1769,2518,1766,1909,5445,5288,1823,3910,1519,249,32,448,459,129,0,30,3319,1077,138,490,2129,4432,0,1722,726,203,107,176,5763,0,50,51,601,0,635,1637,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Omaha-Council Bluffs, NE-IA Metro Area",865350,7048,6179,5145,4331,4378,2828,3128,2862,3279,2996,2920,3637,4383,2096,1285,219,141,518,165,32,18,287,263,13,40,20,21,73,0,17,0,0,22,22,34,199,29,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Haven-Milford, CT Metro Area",862477,14677,9973,5694,4514,2747,2097,1508,1788,2979,1469,1385,2640,1201,1157,1017,1595,3464,5473,5385,3792,2435,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dayton, OH Metro Area",841502,3363,5281,4866,4468,2916,2761,1983,2250,3154,2023,1392,747,454,1235,588,444,506,681,678,466,404,113,77,771,43,104,667,759,95,0,28,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakersfield-Delano, CA Metro Area",839631,5640,5026,7176,5279,5294,3963,3123,784,649,4042,498,26,0,0,0,3023,3335,599,21,0,21,0,0,4337,2202,8,1842,0,1203,4034,3216,6156,2623,83,1752,0,892,3,243,5,0,13,0,0,0,0,0,0,0,0,0,0,190,0,0,0,38,0,0,1360,1405,59,1198,0,0,7,0,0,7,0,0,0,0,23,0,0,2099,2776,1597,19,101,0,0,0,0,0,0,0,0,0,0
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",823318,11945,10405,9482,11210,6458,5914,1648,5190,3456,4054,3587,5459,4612,2793,1350,2374,1412,3644,2939,3403,1080,1878,1896,4697,5055,5891,3159,3528,4379,4310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,21130,8613,2880,3929,6884,3555,2460,2150,1398,1045,226,1516,1593,4198,5301,3655,2298,527,390,671,1272,1274,3229,250,0,526,732,1308,434,0,0,118,32,0,259,118,287,3092,1317,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baton Rouge, LA Metro Area",802484,2778,4115,4068,2557,3129,1495,2485,3141,3450,1864,992,1072,1713,432,1007,802,248,1372,328,500,555,994,75,322,116,114,65,297,52,0,0,0,51,0,23,98,0,0,35,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Paso, TX Metro Area",800647,8502,4716,3779,5158,4772,4257,3586,5129,5650,4662,5144,6122,5118,3317,3439,811,901,2332,1159,691,266,171,80,0,0,19,260,0,0,349,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worcester, MA Metro Area",798552,14577,10119,3840,3636,1743,1275,562,757,704,1027,1101,412,1613,449,949,1752,1954,1734,1611,2035,762,3566,3638,1296,804,251,37,158,0,0,207,538,349,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"McAllen-Edinburg-Mission, TX Metro Area",774769,4101,3121,4350,3138,3422,2308,2422,2229,2217,1798,954,1776,693,879,2021,1293,1528,486,125,444,794,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand Rapids-Wyoming, MI Metro Area",774160,5829,6242,6032,3526,3242,2898,2469,2546,1571,1069,454,336,973,424,249,225,285,0,707,186,168,108,114,531,322,191,78,169,2215,280,461,84,0,0,79,93,71,346,107,0,114,0,48,0,45,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Columbia, SC Metro Area",767598,2839,4630,2908,2222,2208,2111,2110,1953,1134,1007,1631,1168,1744,1234,1291,419,228,240,462,209,157,126,168,118,71,317,73,0,80,398,126,16,19,245,0,19,22,41,0,25,0,75,0,0,46,0,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greensboro-High Point, NC Metro Area",723801,4671,4378,2829,2561,2891,1438,1480,1528,1113,307,895,1403,992,2446,881,1307,1098,294,434,310,398,349,1169,118,506,673,464,95,404,363,627,252,44,43,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akron, OH Metro Area",703200,4414,5427,4513,3756,3220,2555,1470,1771,1844,1163,4730,563,1145,652,1004,894,1712,860,2214,528,0,212,119,0,119,134,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Port-Bradenton-Sarasota, FL Metro Area",702281,0,1663,820,1450,3291,0,0,0,0,554,997,1799,2026,3009,1195,2506,747,0,1131,1071,2365,1920,3355,3305,2752,2834,2294,2985,3202,2245,2005,853,2357,3353,3129,4630,3787,2298,2420,1826,958,1958,356,0,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Little Rock-North Little Rock-Conway, AR Metro Area",699757,1290,2825,2714,3129,2282,2540,2170,3059,1269,1653,1161,962,1467,744,168,678,117,218,306,520,1223,677,467,591,1085,1646,2784,929,80,21,10,145,244,29,131,20,31,0,0,56,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knoxville, TN Metro Area",698030,6414,3523,1873,2186,1905,1509,1492,1476,1461,1456,1093,1132,808,1559,661,1285,344,834,1045,426,497,222,982,899,79,229,344,27,0,289,173,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Springfield, MA Metro Area",692942,8292,8612,4690,3373,2279,2540,3403,3780,3020,740,2283,715,845,0,724,3092,730,205,920,1067,9552,1095,82,40,151,0,49,158,32,47,0,0,150,3791,2077,139,377,150,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stockton, CA Metro Area",685306,6740,5497,6686,6100,4917,6783,5551,1986,5423,2492,6740,5602,4165,1136,156,7871,2538,3641,1943,4025,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",670301,8657,4258,1745,1324,903,985,538,1909,664,838,687,831,977,1562,3898,5812,2092,1014,1263,622,377,276,1184,2249,208,329,458,7250,8896,1683,4552,2317,1994,0,350,216,0,77,955,190,174,0,129,0,0,4393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charleston-North Charleston-Summerville, SC Metro Area",664607,9961,7057,2992,1901,2561,1535,2276,2342,1007,1700,1084,870,1451,2904,2236,1924,856,2388,2606,2217,1885,2515,1271,1342,570,317,213,924,384,261,83,0,0,0,0,45,140,0,0,0,0,0,60,0,0,34,0,83,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syracuse, NY Metro Area",662577,10596,8859,5578,2087,2090,2805,1665,2013,1973,1303,839,409,861,589,536,199,79,304,0,157,658,0,1102,1664,152,2238,83,64,112,288,92,169,2389,1947,634,181,0,0,0,0,93,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toledo, OH Metro Area",651429,4616,5788,3697,4887,3886,3189,3066,2081,2352,2274,1529,534,166,166,416,71,437,89,0,2896,2969,356,347,71,224,0,65,54,0,0,98,777,957,297,0,0,565,0,251,0,282,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Colorado Springs, CO Metro Area",645613,4368,3845,3930,4267,4031,4200,3747,3746,3478,4059,1207,1393,681,176,974,129,420,557,66,629,0,32,33,0,0,0,0,21,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greenville-Mauldin-Easley, SC Metro Area",636986,2927,2798,2696,2334,1527,1630,1573,1423,1732,951,836,2018,980,483,161,616,128,256,0,63,71,209,0,327,141,1217,1579,750,0,0,73,215,1034,0,110,60,0,0,425,40,188,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wichita, KS Metro Area",623061,3001,4205,4330,3883,3557,2887,2122,2069,1484,1014,720,3364,331,300,340,271,29,38,43,1739,466,26,62,610,0,350,2111,2240,663,155,24,8,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cape Coral-Fort Myers, FL Metro Area",618754,2510,2873,2898,1943,1893,2430,2814,2353,2092,1309,868,755,871,1993,2570,1323,1355,674,1194,1175,993,964,1975,1179,447,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boise City-Nampa, ID Metro Area",616561,2435,4435,3871,3500,3692,3201,2917,2207,2386,2022,1522,1086,0,495,192,0,1378,2368,2664,2579,1834,1174,276,1559,2465,29,0,125,90,0,0,64,0,0,0,95,0,96,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lakeland-Winter Haven, FL Metro Area",602095,4661,3382,2830,2145,1635,1559,1772,1091,1633,1236,707,2162,1684,1281,2183,1070,852,1428,869,294,1017,828,2302,475,457,659,1045,451,0,681,66,71,474,0,26,0,83,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des Moines-West Des Moines, IA Metro Area",569633,3577,4783,4754,3102,2606,2738,3350,1832,1632,1170,1914,971,1477,3383,77,1792,1138,50,62,0,34,78,0,22,0,0,0,836,43,0,710,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madison, WI Metro Area",568593,30078,9224,4760,3666,3167,1785,2924,2140,1050,805,533,2011,1381,485,0,0,65,83,293,118,82,0,0,104,37,322,39,0,0,27,34,0,81,603,0,0,29,0,203,0,0,54,58,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Youngstown-Warren-Boardman, OH-PA Metro Area",565773,1615,2071,3195,2364,2773,1693,981,1944,1486,171,927,2043,2605,1859,1439,303,665,631,121,0,140,97,113,561,83,1716,178,113,0,3139,116,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scranton--Wilkes-Barre, PA Metro Area",563631,9142,6242,2018,795,1957,629,1640,529,1643,2536,707,1049,1012,1869,2343,4496,4446,3468,2630,1924,527,55,2953,1811,0,321,116,72,79,3363,276,1854,0,164,3966,6086,147,77,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Augusta-Richmond County, GA-SC Metro Area",556877,2580,1346,2898,1815,2339,2228,1188,1395,1565,1442,997,1203,652,689,386,795,70,132,184,0,32,94,43,0,46,64,0,0,37,295,31,129,172,0,34,0,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harrisburg-Carlisle, PA Metro Area",549475,12491,7209,4480,2212,2505,1744,1697,1952,907,2219,0,423,1628,338,144,604,3420,2249,171,1083,177,114,0,143,0,70,143,74,3151,0,0,21,0,0,115,0,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ogden-Clearfield, UT Metro Area",547184,6998,4641,3076,3733,2810,2249,3456,1953,2849,2991,2169,2534,1732,1801,4864,1946,401,148,0,682,1145,3557,5383,2941,2894,3802,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palm Bay-Melbourne-Titusville, FL Metro Area",543376,0,2070,1627,1820,2676,2032,1210,1786,3581,2966,2837,3444,2711,1831,2738,0,0,2226,0,1616,1216,1879,3020,2330,2140,1971,2293,2742,0,727,431,0,1562,1685,3356,0,0,298,0,1265,2544,2586,2670,1580,841,945,1164,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson, MS Metro Area",539057,364,3632,2619,2890,2802,1838,829,1602,1574,1462,882,812,573,258,209,127,0,52,82,35,0,38,31,918,276,0,0,30,25,166,0,0,661,0,40,0,0,29,36,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chattanooga, TN-GA Metro Area",528143,3425,2724,2325,2054,2247,1593,1522,1271,798,1144,1074,1018,598,472,659,542,264,152,54,93,25,184,202,542,0,114,0,81,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Provo-Orem, UT Metro Area",526810,14333,7757,5915,3912,4158,5536,5510,1147,2847,3661,4697,3474,1299,1995,2549,1915,1878,1010,951,358,13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lancaster, PA Metro Area",519445,16403,4262,2193,1658,1443,723,1867,1148,1249,1560,1655,2063,1356,715,0,321,1105,1549,214,165,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Modesto, CA Metro Area",514453,4874,5273,5960,6112,5343,284,1933,3107,0,0,4657,3831,4471,1875,2003,0,0,0,5,0,0,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portland-South Portland-Biddeford, ME Metro Area",514098,11552,4541,3047,1961,893,899,310,392,272,447,487,606,977,338,1073,2702,240,165,142,229,120,334,1756,306,241,0,87,630,560,1161,290,67,0,0,120,0,88,111,131,209,592,0,0,0,355,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durham-Chapel Hill, NC Metro Area",504357,3947,4861,2931,2374,2241,1567,1008,943,1825,1394,6557,985,2356,501,145,335,0,184,232,84,102,0,44,125,0,94,0,819,0,244,0,0,61,0,46,0,656,0,52,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",494593,0,2311,1939,1941,668,1507,940,1829,1756,652,84,637,0,0,463,782,55,1453,1825,2482,1792,2222,2948,2030,3376,3139,1502,1932,0,1511,3176,0,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Rosa-Petaluma, CA Metro Area",483878,6582,6498,3605,3866,307,1720,4904,3090,0,1900,190,0,3187,3780,3092,2312,215,3012,0,39,17,0,0,7,0,0,0,0,0,89,382,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Winston-Salem, NC Metro Area",477717,2901,3610,2160,1738,1803,1559,1404,746,1121,568,591,205,140,0,400,141,98,115,0,116,0,225,180,193,101,0,52,103,0,0,96,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lexington-Fayette, KY Metro Area",472099,6558,5299,4182,3546,4063,4109,2218,46,0,392,43,1390,1362,806,111,243,1906,558,566,0,61,0,38,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spokane, WA Metro Area",471221,4201,5748,4565,5050,3356,1652,1763,1976,3258,2139,1676,546,810,1511,0,328,0,0,0,0,296,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lansing-East Lansing, MI Metro Area",464036,4372,5000,3424,11201,6452,1748,1550,883,457,1911,867,421,300,415,65,314,495,760,422,587,117,0,63,58,75,63,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
